"date","platform","campaign_type","ad_spend","revenue","conversions","impressions","clicks"
"2024-08-27","Meta Ads","Search","2105.71","54921.72","255","158504","4897"
"2024-03-22","Google Ads","Display","2236.65","7992.11","42","39542","1209"
"2024-07-19","Google Ads","Display","7793.45","32321.78","186","110848","3181"
"2024-12-22","Meta Ads","Video","1591.09","3882.65","22","79964","1487"
"2024-12-19","TikTok Ads","Display","6817.36","99299.9","460","105127","7747"
"2024-01-07","Google Ads","Shopping","3190.6","18709.86","98","73803","1505"
"2024-06-24","Google Ads","Shopping","11820","7335.74","181","96575","4925"
"2024-02-20","Google Ads","Shopping","13635","54944.54","184","162489","4500"
"2024-05-05","Meta Ads","Search","4435","30659.34","243","76155","3548"
"2024-12-06","TikTok Ads","Search","21099.05","75656.62","880","180021","13105"
"2024-04-13","TikTok Ads","Video","3131.4","65306","237","79965","3070"
"2024-05-28","Meta Ads","Search","1293.76","7704.96","48","49789","622"
"2024-04-11","TikTok Ads","Video","17664.99","94022.57","371","195026","9653"
"2024-02-17","TikTok Ads","Shopping","12353.6","70310.53","353","130438","7721"
"2024-12-14","TikTok Ads","Shopping","3165.36","11953.05","369","141917","4796"
"2024-11-22","TikTok Ads","Shopping","12589.92","117826.98","538","146958","7494"
"2024-09-16","Google Ads","Video","624","4495.51","21","13605","300"
"2024-05-23","Google Ads","Display","11249","13873.48","74","116041","6428"
"2024-09-25","TikTok Ads","Search","10949.04","99795.18","494","170396","10138"
"2024-02-22","Meta Ads","Display","773.75","9219.46","41","19743","619"
"2024-08-28","Google Ads","Search","15031.72","24757.88","88","94081","5588"
"2024-06-10","TikTok Ads","Video","3921.96","51038.1","379","141643","8526"
"2024-01-23","Meta Ads","Shopping","4412.94","39560.54","194","90716","3002"
"2024-12-20","Google Ads","Search","5319.26","8506.9","41","72055","1678"
"2024-04-18","Meta Ads","Shopping","4757.92","16587.58","89","112692","2096"
"2024-11-08","Google Ads","Video","631.44","2266.94","16","31672","877"
"2024-06-30","Meta Ads","Video","1482","19372.57","66","59131","1425"
"2024-06-23","Google Ads","Search","6962.4","35393.3","193","119397","3868"
"2024-11-02","Meta Ads","Search","3617.28","73104.85","379","157008","5024"
"2024-01-04","Meta Ads","Shopping","2751.57","25455.36","129","117217","2133"
"2024-10-27","TikTok Ads","Search","9280.27","68395.54","253","111956","5911"
"2024-01-05","Meta Ads","Display","133.34","1684.43","6","10939","113"
"2024-08-10","TikTok Ads","Display","8202.92","35145.36","169","72293","4532"
"2024-02-17","Google Ads","Shopping","12460.25","25620.07","105","78402","4531"
"2024-10-25","TikTok Ads","Display","5838.08","170654.73","590","160892","9122"
"2024-03-14","TikTok Ads","Search","10366.2","23706.53","246","154092","8860"
"2024-01-10","Meta Ads","Shopping","3296.88","33634.99","121","73323","1928"
"2024-01-17","TikTok Ads","Video","6138.3","10013.26","39","58521","3318"
"2024-10-04","TikTok Ads","Search","2360.31","7890.9","54","48361","2713"
"2024-05-11","TikTok Ads","Display","10800","5446.79","112","179870","7500"
"2024-10-06","TikTok Ads","Search","13421.42","35478.84","245","114850","8234"
"2024-06-17","Google Ads","Display","3446.52","8230.48","187","54976","2611"
"2024-08-26","Google Ads","Shopping","13024.17","102989.98","738","162636","9237"
"2024-05-28","Google Ads","Display","1668.5","1524.57","15","23375","1175"
"2024-12-22","Meta Ads","Shopping","3747.6","25997.62","413","167917","6246"
"2024-09-07","Google Ads","Search","7471.69","29354.19","179","71216","2357"
"2024-12-04","Google Ads","Video","4086.11","26198.96","90","29618","1883"
"2024-12-01","Google Ads","Search","5936.16","24710.24","214","136461","3984"
"2024-07-24","TikTok Ads","Search","2338.88","24136.13","171","132426","7309"
"2024-11-29","TikTok Ads","Search","2546.34","106309.31","523","159692","6882"
"2024-09-04","Meta Ads","Video","924.16","1389.72","10","27931","608"
"2024-08-06","Meta Ads","Display","5024.48","15982.2","209","131155","4052"
"2024-05-27","TikTok Ads","Shopping","3274.6","14081.65","123","66842","2339"
"2024-03-05","Google Ads","Shopping","682.76","1542.21","11","7642","202"
"2024-06-12","Google Ads","Shopping","8030.23","7976.29","145","70618","3601"
"2024-09-27","Meta Ads","Video","2230.88","21331.58","85","74212","1528"
"2024-03-09","Google Ads","Shopping","1147.29","4805.52","36","10039","501"
"2024-12-23","Meta Ads","Video","3271.13","87569.74","316","102088","4481"
"2024-09-14","TikTok Ads","Display","540.08","5694.61","38","25025","1256"
"2024-11-05","Google Ads","Shopping","1235.33","4396.12","21","36707","943"
"2024-10-17","TikTok Ads","Search","425.5","5476.85","62","17356","925"
"2024-06-25","TikTok Ads","Search","3815.51","80903.28","301","86257","4597"
"2024-11-08","Google Ads","Shopping","3031.78","2688.72","12","32518","1258"
"2024-07-27","Meta Ads","Display","2161.32","3191.14","70","75269","2604"
"2024-05-16","Google Ads","Video","2849.91","1762.93","49","20534","993"
"2024-11-15","TikTok Ads","Shopping","3424.54","7676.57","220","98500","5614"
"2024-07-25","TikTok Ads","Search","3722.94","5215.94","81","41468","3354"
"2024-05-26","Google Ads","Video","16849.98","62974.93","466","123696","6531"
"2024-11-08","Meta Ads","Shopping","2185.26","7573.87","58","81848","1694"
"2024-02-29","Google Ads","Display","6124.44","1855.78","32","92923","1932"
"2024-11-09","Google Ads","Shopping","6237","53677.08","434","170732","7700"
"2024-10-03","Google Ads","Display","7628.63","19852.56","248","86471","4859"
"2024-10-26","Meta Ads","Display","2008.36","8002.44","79","115986","1357"
"2024-06-21","TikTok Ads","Display","4498.29","56724.23","234","42019","2979"
"2024-01-28","TikTok Ads","Shopping","472.34","10897.53","40","34063","1243"
"2024-04-13","TikTok Ads","Shopping","8001.9","72605.27","293","107476","4707"
"2024-12-16","TikTok Ads","Search","841.96","3253.81","95","33302","3007"
"2024-12-21","Google Ads","Shopping","14202","37055.99","248","70206","3945"
"2024-02-17","Meta Ads","Video","1410.64","8923.08","40","16094","616"
"2024-06-03","Meta Ads","Video","3478.88","28756.15","124","182718","2558"
"2024-08-01","TikTok Ads","Search","3064.93","39364.99","136","66169","2057"
"2024-01-13","Meta Ads","Shopping","433.1","923.15","10","24404","710"
"2024-05-23","TikTok Ads","Shopping","2060","7811.94","205","30517","2575"
"2024-04-04","TikTok Ads","Video","8585.38","10475.22","213","145148","5762"
"2024-02-19","Google Ads","Display","6389.7","3868.37","45","37101","2166"
"2024-02-08","Meta Ads","Search","5178.84","4076.45","72","151480","2514"
"2024-04-05","TikTok Ads","Video","6817.5","35965.7","319","159813","7575"
"2024-09-21","TikTok Ads","Display","5764.5","207824.45","732","135956","11529"
"2024-07-26","Google Ads","Search","7338.24","32045.18","117","70982","2548"
"2024-03-17","TikTok Ads","Search","5072.64","41271.28","553","132992","7926"
"2024-08-13","TikTok Ads","Video","1426.77","5673.88","25","13597","747"
"2024-05-06","Meta Ads","Search","6977.52","17789.77","192","199472","5286"
"2024-02-27","Google Ads","Search","7806.37","24740.95","345","108751","5459"
"2024-12-24","Meta Ads","Display","2580.16","52097.57","333","175591","5864"
"2024-11-08","TikTok Ads","Search","2991.6","16618.85","205","36027","2770"
"2024-08-19","TikTok Ads","Shopping","2992.6","4068.49","85","57265","2302"
"2024-07-18","Google Ads","Shopping","7752.28","21545.93","263","161904","4727"
"2024-08-31","Google Ads","Display","3903.02","4749.9","39","49757","1243"
"2024-07-28","Google Ads","Video","9792.32","24436.96","200","168623","6896"
"2024-09-06","Meta Ads","Video","7032.68","1401.71","44","98079","3226"
"2024-06-23","Google Ads","Search","966.64","8107.06","42","11305","562"
"2024-10-20","TikTok Ads","Shopping","8006.04","49228.57","216","109188","6354"
"2024-08-14","Meta Ads","Display","1393.8","1966.71","39","73309","2323"
"2024-12-14","Google Ads","Video","3513.64","8251.24","75","81996","1508"
"2024-04-03","TikTok Ads","Display","4354.02","64414.08","348","122192","4398"
"2024-11-30","Google Ads","Display","1638.73","15206.45","55","79960","1591"
"2024-11-05","Meta Ads","Display","11060.7","10138.3","64","188804","5267"
"2024-05-25","Meta Ads","Display","3848.88","4653.12","37","80139","2436"
"2024-12-25","Meta Ads","Shopping","1116","1777.36","13","51999","930"
"2024-12-11","Google Ads","Video","20450.7","137884.47","497","119527","6597"
"2024-08-17","Meta Ads","Search","11422.8","9921.38","168","194073","6346"
"2024-09-27","TikTok Ads","Display","6063.08","25513.42","217","55599","3697"
"2024-10-17","Google Ads","Video","12564.86","19637.27","175","176541","4378"
"2024-06-23","Google Ads","Display","10009.28","28657.57","235","118710","4036"
"2024-02-17","TikTok Ads","Search","17511.75","16593.87","380","113297","9675"
"2024-07-05","Google Ads","Search","817.53","872.75","5","6881","357"
"2024-05-20","Meta Ads","Shopping","898.66","10542.66","98","121477","1834"
"2024-06-28","Google Ads","Display","21996.65","134062.71","754","188419","10231"
"2024-08-11","Meta Ads","Video","1218.4","5825.03","51","46743","1523"
"2024-03-10","Google Ads","Video","3286.98","14861.71","50","93302","4058"
"2024-05-14","Google Ads","Search","27855.75","48279.89","332","140747","8571"
"2024-04-16","Google Ads","Search","5423.4","4165.73","48","36831","1572"
"2024-04-17","TikTok Ads","Display","13094.58","113988.39","615","146842","10646"
"2024-04-05","Meta Ads","Display","2223.78","11407.42","52","69892","2851"
"2024-03-29","Google Ads","Shopping","14680.35","58417.12","259","118985","4545"
"2024-07-12","Meta Ads","Display","344.4","4734.22","18","12452","280"
"2024-01-22","Google Ads","Display","11450.88","13168.69","253","85077","4032"
"2024-08-18","TikTok Ads","Search","5802.03","23555.27","143","39782","3393"
"2024-04-13","Google Ads","Video","18980.14","213823.36","741","192135","10663"
"2024-04-04","Meta Ads","Search","4206.04","64623.96","464","156317","5924"
"2024-02-15","Google Ads","Shopping","4676.31","6981.98","108","39754","2007"
"2024-10-02","Meta Ads","Shopping","974.16","30360.22","117","84526","2214"
"2024-08-27","Google Ads","Shopping","5049.82","27701.27","137","159226","5206"
"2024-10-01","TikTok Ads","Display","5397.84","40162.93","146","178503","9639"
"2024-05-19","TikTok Ads","Shopping","11854.24","208986.19","743","176946","13784"
"2024-08-02","Meta Ads","Display","3888.43","71554.77","239","163124","4273"
"2024-06-21","Meta Ads","Display","7538.3","55217.61","243","150486","6230"
"2024-05-17","Google Ads","Search","4442.02","4077.32","89","88384","3641"
"2024-07-07","Meta Ads","Display","1759.56","17171.74","95","74922","1333"
"2024-01-17","TikTok Ads","Video","17359.27","86047.94","821","188846","12671"
"2024-03-27","TikTok Ads","Search","562.06","3231.96","13","10209","314"
"2024-11-27","TikTok Ads","Video","2294.08","5569.82","63","31140","1712"
"2024-03-08","Meta Ads","Video","1553.14","10968.52","38","46850","983"
"2024-04-28","Meta Ads","Shopping","404.67","597.18","4","17720","287"
"2024-01-29","Google Ads","Video","889.2","1435.11","8","16781","684"
"2024-11-29","Meta Ads","Video","3345.92","20303.14","133","61652","2614"
"2024-07-06","Meta Ads","Display","8229.62","9992.76","197","194933","4054"
"2024-02-25","Google Ads","Search","5145","73673.45","254","100386","5250"
"2024-01-25","Google Ads","Search","2710.5","11338.98","47","50203","1390"
"2024-01-14","TikTok Ads","Search","4415.24","37603.74","202","85428","5134"
"2024-05-05","TikTok Ads","Video","15947.2","78044.55","570","192428","9967"
"2024-08-19","Google Ads","Shopping","4665.5","7948.11","108","33756","2150"
"2024-03-28","Meta Ads","Video","1440.45","5899.5","35","103162","1485"
"2024-09-02","Google Ads","Search","5020.99","5534.94","95","142844","2971"
"2024-05-31","Google Ads","Search","4945.5","12918.19","112","50201","2198"
"2024-01-16","Meta Ads","Video","3046.12","26273.04","181","143421","3542"
"2024-10-13","Meta Ads","Shopping","2984.85","6227.5","57","71537","1809"
"2024-11-03","Google Ads","Video","25302.2","25281.15","584","198604","8162"
"2024-04-08","Google Ads","Search","4232.32","10393.96","120","114028","3112"
"2024-06-05","TikTok Ads","Video","3784.95","46549.68","232","180309","5823"
"2024-03-22","Meta Ads","Video","4451.45","43774.92","188","168402","5237"
"2024-12-23","TikTok Ads","Video","3507.1","32829.78","294","125419","4126"
"2024-02-05","TikTok Ads","Video","5023.8","12412.26","263","123680","8373"
"2024-06-24","Google Ads","Search","11562.28","17255.28","331","117660","6388"
"2024-09-02","Meta Ads","Video","1960.31","14368.24","64","76916","2761"
"2024-02-17","Meta Ads","Video","10957.12","21671.9","111","150631","5648"
"2024-02-19","Google Ads","Display","5657.82","28110.42","313","126635","4254"
"2024-12-14","Google Ads","Video","6923.75","39701.58","150","159721","3625"
"2024-09-01","Meta Ads","Shopping","2336.31","32525.45","285","150698","4581"
"2024-04-14","TikTok Ads","Search","4095.75","2846.94","59","98348","3225"
"2024-08-03","Meta Ads","Search","1640.13","2761.12","62","110603","2377"
"2024-01-18","Google Ads","Shopping","10282.7","42043.84","262","76792","3317"
"2024-03-08","TikTok Ads","Shopping","2988.09","6030.56","22","44405","1953"
"2024-08-28","Google Ads","Shopping","2351.7","12950.09","74","49462","1206"
"2024-05-01","TikTok Ads","Display","8041","31071.69","748","140440","11825"
"2024-06-27","TikTok Ads","Display","8091.76","91221.43","363","112392","4934"
"2024-04-17","TikTok Ads","Shopping","4824.44","117035.13","566","125654","8318"
"2024-07-16","Meta Ads","Search","6232.98","10328.31","76","167002","3406"
"2024-04-06","TikTok Ads","Search","4112.89","139391.79","517","108247","6971"
"2024-04-14","Meta Ads","Display","2533.78","19225.18","66","53128","1678"
"2024-02-01","Meta Ads","Video","2146.2","6784.27","48","65942","2044"
"2024-03-14","Google Ads","Display","1589.24","1927.71","12","32160","1186"
"2024-09-29","Google Ads","Search","4975.02","15149.72","136","58364","2241"
"2024-06-05","Meta Ads","Search","1811.04","7813.85","146","79462","2058"
"2024-04-01","Meta Ads","Display","7365.02","45340.29","175","151864","4358"
"2024-04-27","Google Ads","Shopping","13093.06","53279.93","343","182926","6749"
"2024-10-25","Meta Ads","Shopping","3521","18411.15","166","107489","2515"
"2024-08-03","TikTok Ads","Search","919.8","16081.05","90","40709","1314"
"2024-09-24","Google Ads","Video","17647.92","123364.05","630","143561","9144"
"2024-03-24","Google Ads","Shopping","9128.22","6794.77","100","94242","5466"
"2024-09-23","Google Ads","Display","15623.15","22317.92","389","111311","5765"
"2024-09-24","TikTok Ads","Video","14002.28","46411.13","221","130865","9461"
"2024-01-02","Meta Ads","Video","3967.2","35803.07","154","138639","2204"
"2024-06-15","TikTok Ads","Shopping","6811.35","14520.06","81","147355","7485"
"2024-04-29","Meta Ads","Shopping","943.77","791.56","8","26751","489"
"2024-01-25","TikTok Ads","Display","3313.56","4766.32","35","42706","2084"
"2024-09-02","Meta Ads","Video","6473.67","43055.91","224","173337","3189"
"2024-07-28","Meta Ads","Shopping","1444.56","4987.6","67","99948","1389"
"2024-03-30","Google Ads","Video","3290.93","16624.45","64","65282","1723"
"2024-02-01","Google Ads","Video","3671.2","37847.71","178","48790","2824"
"2024-07-16","Google Ads","Shopping","12378.73","38753.89","135","163272","5551"
"2024-11-04","Google Ads","Video","3686","16524.46","250","149233","3686"
"2024-02-27","TikTok Ads","Search","639.1","1137.83","10","7637","415"
"2024-01-04","Google Ads","Display","2353.04","5967.58","67","20198","878"
"2024-09-11","Google Ads","Search","1025.69","12632.32","47","32675","941"
"2024-02-28","Google Ads","Search","12030.48","51746.42","198","116560","4312"
"2024-01-27","Meta Ads","Display","7009.7","2483.8","65","176459","3670"
"2024-09-02","Meta Ads","Shopping","3294.72","6236.77","37","49980","1664"
"2024-01-07","Meta Ads","Video","2627","17285.68","78","98944","1850"
"2024-04-01","TikTok Ads","Video","3333.2","14521.43","134","115310","3205"
"2024-08-08","Meta Ads","Search","273.46","3013.54","18","8626","242"
"2024-01-05","Meta Ads","Display","694.76","4757.82","32","88732","1579"
"2024-06-20","Meta Ads","Video","972.44","5842.59","30","29502","604"
